Symbol,Security,GICS Sector,GICS Sub-Industry,CIK
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,0001163165
ED,Consolidated Edison,Utilities,Electric Utilities,0001047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0000016918
COO,The Cooper Companies,Health Care,Health Care Supplies,0000711404
CPRT,Copart,Industrials,Diversified Support Services,0000900075
GLW,Corning,Information Technology,Electronic Components,0000024741
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,0001755672
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,0000909832
CCI,Crown Castle,Real Estate,Specialized REITs,0001051470
CSX,CSX,Industrials,Railroads,0000277948
CMI,Cummins,Industrials,Industrial Machinery,0000026172
CVS,CVS Health,Health Care,Health Care Services,0000064803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0000882184
DHR,Danaher Corporation,Health Care,Health Care Equipment,0000313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0000940944
DVA,DaVita,Health Care,Health Care Facilities,0000927066
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,0000315189
DAL,Delta Air Lines,Industrials,Airlines,0000027904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,0000818479
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,0001090012
DXCM,DexCom,Health Care,Health Care Equipment,0001093557
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0001539838
DLR,Digital Realty Trust,Real Estate,Specialized REITs,0001297996
DFS,Discover Financial Services,Financials,Consumer Finance,0001393612
DISCA,Discovery (Series A),Communication Services,Broadcasting,0001437107
DISCK,Discovery (Series C),Communication Services,Broadcasting,0001437107
DISH,Dish Network,Communication Services,Cable & Satellite,0001001082
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0000029534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,0000935703
D,Dominion Energy,Utilities,Electric Utilities,0000715957
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,0001286681
DOV,Dover Corporation,Industrials,Industrial Machinery,0000029905
DOW,Dow,Materials,Commodity Chemicals,0001751788
DTE,DTE Energy,Utilities,Multi-Utilities,0000936340
DUK,Duke Energy,Utilities,Electric Utilities,0001326160
DRE,Duke Realty Corp,Real Estate,Industrial REITs,0000783280
DD,DuPont,Materials,Specialty Chemicals,0001666700
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,0001688568
EMN,Eastman Chemical,Materials,Diversified Chemicals,0000915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,0001551182
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,0001065088
ECL,Ecolab,Materials,Specialty Chemicals,0000031462
EIX,Edison International,Utilities,Electric Utilities,0000827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,0001099800
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,0000712515
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,0000032604
ENPH,Enphase Energy,Information Technology,Electronic Components,0001463101
ETR,Entergy,Utilities,Electric Utilities,0000065984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0000821189
EFX,Equifax,Industrials,Research & Consulting Services,0000033185
EQIX,Equinix,Real Estate,Specialized REITs,0001101239
EQR,Equity Residential,Real Estate,Residential REITs,0000906107
ESS,Essex Property Trust,Real Estate,Residential REITs,0000920522
EL,Estée Lauder Companies,Consumer Staples,Personal Products,0001001250
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,0001370637
EVRG,Evergy,Utilities,Electric Utilities,0001711269
ES,Eversource Energy,Utilities,Multi-Utilities,0000072741
RE,Everest Re,Financials,Reinsurance,0001095073
EXC,Exelon,Utilities,Multi-Utilities,0001109357
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,0001324424
EXPD,Expeditors,Industrials,Air Freight & Logistics,0000746515
EXR,Extra Space Storage,Real Estate,Specialized REITs,0001289490
XOM,ExxonMobil,Energy,Integrated Oil & Gas,0000034088
FFIV,F5 Networks,Information Technology,Communications Equipment,0001048695
FB,Facebook,Communication Services,Interactive Media & Services,0001326801
FAST,Fastenal,Industrials,Building Products,0000815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,0000034903
FDX,FedEx,Industrials,Air Freight & Logistics,0001048911
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,0001136893
FITB,Fifth Third Bancorp,Financials,Regional Banks,0000035527
FE,FirstEnergy,Utilities,Electric Utilities,0001031296
FRC,First Republic Bank,Financials,Regional Banks,0001132979
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,0000798354
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,0001175454
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,0000037785
F,Ford,Consumer Discretionary,Automobile Manufacturers,0000037996
FTNT,Fortinet,Information Technology,Systems Software,0001262039
FTV,Fortive,Industrials,Industrial Machinery,0001659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,0001519751
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,0001754301
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,0001754301
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,0000038777
FCX,Freeport-McMoRan,Materials,Copper,0000831259
GPS,Gap,Consumer Discretionary,Apparel Retail,0000039911
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0001121788
IT,Gartner,Information Technology,IT Consulting & Other Services,0000749251
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,0001474735
GD,General Dynamics,Industrials,Aerospace & Defense,0000040533
GE,General Electric,Industrials,Industrial Conglomerates,0000040545
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,0000040704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,0001467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,0000040987
GILD,Gilead Sciences,Health Care,Biotechnology,0000882095
GL,Globe Life,Financials,Life & Health Insurance,0000320335
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,0001123360
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,0000886982
GWW,W. W. Grainger,Industrials,Industrial Machinery,0000277135
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,0000045012
HBI,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0001359841
HIG,The Hartford,Financials,Property & Casualty Insurance,0000874766
HAS,Hasbro,Consumer Discretionary,Leisure Products,0000046080
HCA,HCA Healthcare,Health Care,Health Care Facilities,0000860730
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,0000765880
HSIC,Henry Schein,Health Care,Health Care Distributors,0001000228
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,0000047111
HES,Hess Corporation,Energy,Integrated Oil & Gas,0000004447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",0001645590
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001585689
HOLX,Hologic,Health Care,Health Care Equipment,0000859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,0000354950
HON,Honeywell,Industrials,Industrial Conglomerates,0000773840
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,0000048465
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,0001070750
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,0000004281
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",0000047217
HUM,Humana,Health Care,Managed Health Care,0000049071
HBAN,Huntington Bancshares,Financials,Regional Banks,0000049196
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0001501585
IEX,IDEX Corporation,Industrials,Industrial Machinery,0000832101
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,0000874716
INFO,IHS Markit,Industrials,Research & Consulting Services,0001598014
ITW,Illinois Tool Works,Industrials,Industrial Machinery,0000049826
ILMN,Illumina,Health Care,Life Sciences Tools & Services,0001110803
INCY,Incyte,Health Care,Biotechnology,0000879169
IR,Ingersoll Rand,Industrials,Industrial Machinery,0001699150
INTC,Intel,Information Technology,Semiconductors,0000050863
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0001571949
IBM,IBM,Information Technology,IT Consulting & Other Services,0000051143
IP,International Paper,Materials,Paper Packaging,0000051434
IPG,Interpublic Group,Communication Services,Advertising,0000051644
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,0000051253
INTU,Intuit,Information Technology,Application Software,0000896878
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0001035267
IVZ,Invesco,Financials,Asset Management & Custody Banks,0000914208
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,0001111928
IQV,IQVIA,Health Care,Life Sciences Tools & Services,0001478242
IRM,Iron Mountain,Real Estate,Specialized REITs,0001020569
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,0000779152
J,Jacobs Engineering Group,Industrials,Construction & Engineering,0000052988
JBHT,J. B. Hunt,Industrials,Trucking,0000728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,0000091419
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0000200406
JCI,Johnson Controls,Industrials,Building Products,0000833444
JPM,JPMorgan Chase,Financials,Diversified Banks,0000019617
JNPR,Juniper Networks,Information Technology,Communications Equipment,0001043604
KSU,Kansas City Southern,Industrials,Railroads,0000054480
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,0000055067
KEY,KeyCorp,Financials,Regional Banks,0000091576
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0001601046
KMB,Kimberly-Clark,Consumer Staples,Household Products,0000055785
KIM,Kimco Realty,Real Estate,Retail REITs,0000879101
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0001506307
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,0000319201
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,0001637459
KR,Kroger,Consumer Staples,Food Retail,0000056873
BBWI,L Brands,Consumer Discretionary,Apparel Retail,0000701985
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,0000202058
LH,LabCorp,Health Care,Health Care Services,0000920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,0000707549
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,0001679273
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,0001300514
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,0000058492
LDOS,Leidos,Industrials,Diversified Support Services,0001336920
LEN,Lennar,Consumer Discretionary,Homebuilding,0000920760
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals,0000059478
LNC,Lincoln National,Financials,Multi-line Insurance,0000059558
LIN,Linde,Materials,Industrial Gases,0001707925
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0001335258
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,0001065696
LMT,Lockheed Martin,Industrials,Aerospace & Defense,0000936468
L,Loews Corporation,Financials,Multi-line Insurance,0000060086
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,0000060667
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,0000018926
LYB,LyondellBasell,Materials,Specialty Chemicals,0001489393
MTB,M&T Bank,Financials,Regional Banks,0000036270
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,0000101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,0001510295
MKTX,MarketAxess,Financials,Financial Exchanges & Data,0001278021
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,0000062709
MLM,Martin Marietta Materials,Materials,Construction Materials,0000916076
MAS,Masco,Industrials,Building Products,0000062996
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,0001141391
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,0000063754
MXIM,Maxim Integrated,Information Technology,Semiconductors,0000743316
MCD,McDonald's,Consumer Discretionary,Restaurants,0000063908
MCK,McKesson Corporation,Health Care,Health Care Distributors,0000927653
MDT,Medtronic,Health Care,Health Care Equipment,0001613103
MRK,Merck & Co.,Health Care,Pharmaceuticals,0000310158
MET,MetLife,Financials,Life & Health Insurance,0001099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,0001037646
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,0000789570
MCHP,Microchip Technology,Information Technology,Semiconductors,0000827054
MU,Micron Technology,Information Technology,Semiconductors,0000723125
MSFT,Microsoft,Information Technology,Systems Software,0000789019
MAA,Mid-America Apartments,Real Estate,Residential REITs,0000912595
MRNA,Moderna,Health Care,Biotechnology,0001682852
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,0000851968
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,0000024545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0001103982
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0001280452
MNST,Monster Beverage,Consumer Staples,Soft Drinks,0000865752
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,0001059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0000895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,0001285785
MSI,Motorola Solutions,Information Technology,Communications Equipment,0000068505
MSCI,MSCI,Financials,Financial Exchanges & Data,0001408198
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,0001120193
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",0001002047
NFLX,Netflix,Communication Services,Movies & Entertainment,0001065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,0000814453
NEM,Newmont,Materials,Gold,0001164727
NWSA,News Corp (Class A),Communication Services,Publishing,0001564708
NWS,News Corp (Class B),Communication Services,Publishing,0001564708
NEE,NextEra Energy,Utilities,Multi-Utilities,0000753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,0001492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0000320187
NI,NiSource,Utilities,Multi-Utilities,0001111711
NSC,Norfolk Southern,Industrials,Railroads,0000702165
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,0000073124
NOC,Northrop Grumman,Industrials,Aerospace & Defense,0001133421
NLOK,NortonLifeLock,Information Technology,Application Software,0000849399
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001513761
NOV,Nov,Energy,Oil & Gas Equipment & Services,0001021860
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,0001013871
NUE,Nucor,Materials,Steel,0000073309
NVDA,Nvidia,Information Technology,Semiconductors,0001045810
NVR,NVR,Consumer Discretionary,Homebuilding,0000906163
NXPI,NXP,Information Technology,Semiconductors,0001413447
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,0000898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0000797468
ODFL,Old Dominion Freight Line,Industrials,Trucking,0000878927
OMC,Omnicom Group,Communication Services,Advertising,0000029989
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,0001039684
ORCL,Oracle,Information Technology,Application Software,0001341439
OGN,Organon & Co.,Health Care,Pharmaceuticals,0001821825
OTIS,Otis Worldwide,Industrials,Industrial Machinery,0001781335
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,0000075362
PKG,Packaging Corporation of America,Materials,Paper Packaging,0000075677
PH,Parker-Hannifin,Industrials,Industrial Machinery,0000076334
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,0000723531
PAYC,Paycom,Information Technology,Application Software,0001590955
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,0001633917
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,0000921738
PNR,Pentair,Industrials,Industrial Machinery,0000077360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,0001378946
PEP,PepsiCo,Consumer Staples,Soft Drinks,0000077476
PKI,PerkinElmer,Health Care,Health Care Equipment,0000031791
PRGO,Perrigo,Health Care,Pharmaceuticals,0001585364
PFE,Pfizer,Health Care,Pharmaceuticals,0000078003
PM,Philip Morris International,Consumer Staples,Tobacco,0001413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0001534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,0000764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,0001038357
PNC,PNC Financial Services,Financials,Regional Banks,0000713676
POOL,Pool Corporation,Consumer Discretionary,Distributors,0000945841
PPG,PPG Industries,Materials,Specialty Chemicals,0000079879
PPL,PPL,Utilities,Electric Utilities,0000922224
PFG,Principal Financial Group,Financials,Life & Health Insurance,0001126328
PG,Procter & Gamble,Consumer Staples,Personal Products,0000080424
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,0000080661
PLD,Prologis,Real Estate,Industrial REITs,0001045609
PRU,Prudential Financial,Financials,Life & Health Insurance,0001137774
PTC,PTC,Information Technology,Application Software,0000857005
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,0000788784
PSA,Public Storage,Real Estate,Specialized REITs,0001393311
PHM,PulteGroup,Consumer Discretionary,Homebuilding,0000822416
PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0000078239
QRVO,Qorvo,Information Technology,Semiconductors,0001604778
PWR,Quanta Services,Industrials,Construction & Engineering,0001050915
QCOM,Qualcomm,Information Technology,Semiconductors,0000804328
DGX,Quest Diagnostics,Health Care,Health Care Services,0001022079
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0001037038
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,0000720005
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,0000101829
O,Realty Income Corporation,Real Estate,Retail REITs,0000726728
REG,Regency Centers,Real Estate,Retail REITs,0000910606
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,0000872589
RF,Regions Financial Corporation,Financials,Regional Banks,0001281761
RSG,Republic Services,Industrials,Environmental & Facilities Services,0001060391
RMD,ResMed,Health Care,Health Care Equipment,0000943819
RHI,Robert Half International,Industrials,Human Resource & Employment Services,0000315213
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,0001024478
ROL,Rollins,Industrials,Environmental & Facilities Services,0000084839
ROP,Roper Technologies,Industrials,Industrial Conglomerates,0000882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0000745732
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000884887
SPGI,S&P Global,Financials,Financial Exchanges & Data,0000064040
CRM,Salesforce,Information Technology,Application Software,0001108524
SBAC,SBA Communications,Real Estate,Specialized REITs,0001034054
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,0000087347
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0001137789
SEE,Sealed Air,Materials,Paper Packaging,0001012100
SRE,Sempra Energy,Utilities,Multi-Utilities,0001032208
NOW,ServiceNow,Information Technology,Systems Software,0001373715
SHW,Sherwin-Williams,Materials,Specialty Chemicals,0000089800
SPG,Simon Property Group,Real Estate,Retail REITs,0001063761
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0000004127
SNA,Snap-on,Industrials,Industrial Machinery,0000091440
SO,Southern Company,Utilities,Electric Utilities,0000092122
LUV,Southwest Airlines,Industrials,Airlines,0000092380
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,0000093556
SBUX,Starbucks,Consumer Discretionary,Restaurants,0000829224
STT,State Street Corporation,Financials,Asset Management & Custody Banks,0000093751
STE,Steris,Health Care,Health Care Equipment,0001757898
SYK,Stryker Corporation,Health Care,Health Care Equipment,0000310764
SIVB,SVB Financial,Financials,Regional Banks,0000719739
SYF,Synchrony Financial,Financials,Consumer Finance,0001601712
SNPS,Synopsys,Information Technology,Application Software,0000883241
SYY,Sysco,Consumer Staples,Food Distributors,0000096021
